Yang-1989,#group#
ViuTV,https://iptv.yang-1989.xyz/hk/erswmk?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
ViuTVsix,https://iptv.yang-1989.xyz/hk/h3qya9?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Now直播台,https://iptv.yang-1989.xyz/hk/htm837?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Now新聞台,https://iptv.yang-1989.xyz/hk/4ax8x3?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Now財經台,https://iptv.yang-1989.xyz/hk/svhfvh?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Now Sports 精選,https://iptv.yang-1989.xyz/hk/mxu48w?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Now Sports 617,https://iptv.yang-1989.xyz/hkg/2nh7xm?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Now Sports 618,https://iptv.yang-1989.xyz/hkg/h93b5s?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
電台·雷霆881,https://iptv.yang-1989.xyz/hkg/m82vgn?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
電台·叱咤903,https://iptv.yang-1989.xyz/hkg/p2j64e?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
電台·AM864,https://iptv.yang-1989.xyz/hkg/xw759a?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
HOY 國際財經台,https://hoytv-live-stream.hoy.tv/ch76/index-fhd.m3u8
HOY TV,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
HOY 資訊台,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
RTHK 31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK 32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK 33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHK 34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
RTHK 35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
澳門Macau,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
澳門葡文,https://live5.tdm.com.mo/ch2/ch2.live/playlist.m3u8
澳視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳門資訊,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳門體育,https://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳門綜藝,https://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8

Yang-1989.•央視「Relay」,#genre#

CCTV 1 綜合「Relay」,https://iptv.yang-1989.xyz/cn/uwvb7h?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 2 財經「Relay」,https://iptv.yang-1989.xyz/cn/g66623?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 3 綜藝「Relay」,https://iptv.yang-1989.xyz/cn/xcmq3n?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 4 中文國際「Relay」,https://iptv.yang-1989.xyz/cn/mnd4ht?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 5 體育「Relay」,https://iptv.yang-1989.xyz/cn/7c7f6z?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 5+ 體育賽事「Relay」,https://iptv.yang-1989.xyz/cn/3wqkbv?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 6 電影「Relay」,https://iptv.yang-1989.xyz/cn/6ezxgv?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 7 國防軍事「Relay」,https://iptv.yang-1989.xyz/cn/yc3dvj?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 8 電視劇「Relay」,https://iptv.yang-1989.xyz/cn/3p5zf6?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 9 記錄「Relay」,https://iptv.yang-1989.xyz/cn/rhjafu?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 10 科教「Relay」,https://iptv.yang-1989.xyz/cn/2w47mg?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 11 戲曲「Relay」,https://iptv.yang-1989.xyz/cn/uuu8gb?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 12 社會與法「Relay」,https://iptv.yang-1989.xyz/cn/7qur3b?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 13 新聞「Relay」,https://iptv.yang-1989.xyz/cn/tqwafc?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 14 少兒「Relay」,https://iptv.yang-1989.xyz/cn/begemp?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 15 音樂「Relay」,https://iptv.yang-1989.xyz/cn/cmrbt5?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 16 奧林匹克「Relay」,https://iptv.yang-1989.xyz/cn/y3segr?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CCTV 17 農村農業「Relay」,https://iptv.yang-1989.xyz/cn/rh854y?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
北京衛視「Relay」,https://iptv.yang-1989.xyz/cn/6h93m2?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
東方衛視「Relay」,https://iptv.yang-1989.xyz/cn/rp89hf?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
廣東衛視「Relay」,https://iptv.yang-1989.xyz/cn/su4jy3?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
浙江衛視「Relay」,https://iptv.yang-1989.xyz/cn/6pr79k?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
江蘇衛視「Relay」,https://iptv.yang-1989.xyz/cn/ehst4y?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
湖南衛視「Relay」,https://iptv.yang-1989.xyz/cn/yvh62s?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
四川衛視「Relay」,https://iptv.yang-1989.xyz/cn/8fpprd?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d

Yang-1989.•台灣「Relay」,#genre#

緯來日本「Relay」,https://iptv.yang-1989.xyz/tw/etcqee?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
緯來體育「Relay」,https://iptv.yang-1989.xyz/tw/abwejz?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
緯來電影「Relay」,https://iptv.yang-1989.xyz/tw/s5zbmt?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
緯來綜合「Relay」,https://iptv.yang-1989.xyz/tw/xt78a5?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
緯來戲劇「Relay」,https://iptv.yang-1989.xyz/tw/dwx3j6?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
緯來育樂「Relay」,https://iptv.yang-1989.xyz/tw/n53ehf?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
年代新聞「Relay」,https://iptv.yang-1989.xyz/tw/qe3x9e?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
中天亞洲「Relay」,https://iptv.yang-1989.xyz/tw/dsh64r?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
中天綜合「Relay」,https://iptv.yang-1989.xyz/tw/3j5uct?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
中天娛樂「Relay」,https://iptv.yang-1989.xyz/tw/w48e5p?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
東森電影「Relay」,https://iptv.yang-1989.xyz/tw/6hvxe8?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
東森洋片「Relay」,https://iptv.yang-1989.xyz/tw/ep5z24?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
東森綜合「Relay」,https://iptv.yang-1989.xyz/tw/66duzt?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
東森戲劇「Relay」,https://iptv.yang-1989.xyz/tw/uakqjz?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
東森幼幼「Relay」,https://iptv.yang-1989.xyz/tw/m37wu8?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
台視「Relay」,https://iptv.yang-1989.xyz/tw/thnxux?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
動物星球「Relay」,https://iptv.yang-1989.xyz/tw/nqpt4f?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CATCHPLAY 電影「Relay」,https://iptv.yang-1989.xyz/tw/wt849h?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
龍祥時代「Relay」,https://iptv.yang-1989.xyz/tw/3t6c42?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
好萊塢電影「Relay」,https://iptv.yang-1989.xyz/tw/seyn44?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
CINEMAX「Relay」,https://iptv.yang-1989.xyz/tw/k592tn?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
MTV Live「Relay」,https://iptv.yang-1989.xyz/tw/hcw2mt?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
龍華偶像「ofiii」,https://iptv.yang-1989.xyz/ofiii/gx8rvs?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
龍華卡通「ofiii」,https://iptv.yang-1989.xyz/ofiii/x6ar6n?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
龍華戲劇「ofiii」,https://iptv.yang-1989.xyz/ofiii/xges4v?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
龍華日韓「ofiii」,https://iptv.yang-1989.xyz/ofiii/scdabw?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
龍華洋片「ofiii」,https://iptv.yang-1989.xyz/ofiii/rr4au6?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
龍華經典「ofiii」,https://iptv.yang-1989.xyz/ofiii/u2a654?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
龍華電影「ofiii」,https://iptv.yang-1989.xyz/ofiii/cdm23r?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
台視新聞「ofiii」,https://iptv.yang-1989.xyz/ofiii/mb3tvm?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
台灣戲劇「ofiii」,https://iptv.yang-1989.xyz/ofiii/5gffxg?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
寰宇財經「ofiii」,https://iptv.yang-1989.xyz/ofiii/28txxw?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
DayStar「ofiii」,https://iptv.yang-1989.xyz/ofiii/mqpqab?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
第1商業「ofiii」,https://iptv.yang-1989.xyz/ofiii/nmfq7d?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Smart知識「ofiii」,https://iptv.yang-1989.xyz/ofiii/gsaeym?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d

Yang-1989.•體育「Relay」,#genre#

TNT Sport 1,https://iptv.yang-1989.xyz/sprt/4865zn?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
TNT Sport 2,https://iptv.yang-1989.xyz/sprt/twumqk?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
TNT Sport 3,https://iptv.yang-1989.xyz/sprt/pv99u2?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
TNT Sport 4,https://iptv.yang-1989.xyz/sprt/ahmgzy?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Eurosport 1,https://iptv.yang-1989.xyz/sprt/fa8b23?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Eurosport 2,https://iptv.yang-1989.xyz/sprt/qhw33h?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
beIN Sports,https://iptv.yang-1989.xyz/sprt/k7j7tr?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
beIN Sports 2,https://iptv.yang-1989.xyz/sprt/9nctwd?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
beIN Sports 3,https://iptv.yang-1989.xyz/sprt/28rbf3?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
beIN Sports 4,https://iptv.yang-1989.xyz/sprt/qtj4vj?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
beIN Sports 5,https://iptv.yang-1989.xyz/sprt/49zghm?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Premier 1,https://iptv.yang-1989.xyz/sprt/vjmqum?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Premier 2,https://iptv.yang-1989.xyz/sprt/ujaaqp?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Premier 3,https://iptv.yang-1989.xyz/sprt/frerjd?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Premier 4,https://iptv.yang-1989.xyz/sprt/w5b68z?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Premier 5,https://iptv.yang-1989.xyz/sprt/wy99dc?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Premier 6,https://iptv.yang-1989.xyz/sprt/5yp2yj?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Premier 7,https://iptv.yang-1989.xyz/sprt/quz7a3?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Premier 8,https://iptv.yang-1989.xyz/sprt/k6v8st?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Premier 9,https://iptv.yang-1989.xyz/sprt/wz4cww?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Premier 10,https://iptv.yang-1989.xyz/sprt/tsgygq?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Premier 11,https://iptv.yang-1989.xyz/sprt/x6j9fj?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Sports 1,https://iptv.yang-1989.xyz/sprt/7y87j8?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Sports 2,https://iptv.yang-1989.xyz/sprt/432qhs?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Sports 3,https://iptv.yang-1989.xyz/sprt/bbr7c4?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Sports 4,https://iptv.yang-1989.xyz/sprt/knp25m?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Sports 5,https://iptv.yang-1989.xyz/sprt/t8mh7h?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Sports 6,https://iptv.yang-1989.xyz/sprt/gy7kgd?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Sports 7,https://iptv.yang-1989.xyz/sprt/wvv393?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Hub Sports 8,https://iptv.yang-1989.xyz/sprt/znqqjn?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Spotv 1,https://iptv.yang-1989.xyz/sprt/d7tcr2?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Spotv 2,https://iptv.yang-1989.xyz/sprt/m9x3zd?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
FIGHT SPORTS,https://iptv.yang-1989.xyz/sprt/e9q26q?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d

Yang-1989.•綜合「Relay」,#genre#

BBC Earth,https://iptv.yang-1989.xyz/comp/5ckqmp?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
BBC Lifestyle,https://iptv.yang-1989.xyz/comp/wk7sn3?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Discovery,https://iptv.yang-1989.xyz/comp/bp8g8t?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
HBO,https://iptv.yang-1989.xyz/comp/bw49p9?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
HBO Hits,https://iptv.yang-1989.xyz/comp/gq9u26?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
HBO Family,https://iptv.yang-1989.xyz/comp/ksnjpy?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
HBO Signature,https://iptv.yang-1989.xyz/comp/mcybd7?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Channel 5,https://iptv.yang-1989.xyz/comp/kgw7q5?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Channel 8,https://iptv.yang-1989.xyz/comp/ne6uwq?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
Channel U,https://iptv.yang-1989.xyz/comp/3djztx?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d
中天亞洲,https://iptv.yang-1989.xyz/comp/phmu6c?token=0215f34955986c00c9b61d66ba1c4fa2e2b9d8af47e9f00d

Yang-1989.•港澳台「Juli」,#genre#

翡翠台4K(字幕),https://cdn.qd.je/163189/fct4k
TVB Plus(字幕),https://cdn.qd.je/163189/tvbp
NOW新闻台,https://cdn.qd.je/163189/now
凤凰中文,https://cdn.qd.je/163189/fhzw
凤凰资讯,https://cdn.qd.je/163189/fhzx
凤凰香港,https://cdn.qd.je/163189/fhhk
CCTV1港澳版,https://cdn.qd.je/163189/cctv1
CCTV13,https://cdn.qd.je/163189/cctv13-2
HOY TV,https://cdn.qd.je/163189/hoy
HOY TV,https://cdn.qd.je/163189/hoy2
HOY资讯台,https://cdn.qd.je/163189/hoy78
HOY国际财经台,https://cdn.qd.je/163189/hoy76
ViuTV,https://cdn.qd.je/163189/viu
ViuTVsix,https://cdn.qd.je/163189/viu6
RTHK31,https://cdn.qd.je/163189/rthk31
RTHK32,https://cdn.qd.je/163189/rthk32
澳视澳门,https://cdn.qd.je/163189/asam
澳视卫星,https://cdn.qd.je/163189/as
澳门体育,https://cdn.qd.je/163189/amty
澳门综艺,https://cdn.qd.je/163189/amzy
澳门莲花,https://cdn.qd.je/163189/amlh
重温经典,https://cdn.qd.je/163189/cwjd
TVB1,https://cdn.qd.je/163189/tvb1
TVBJ1,https://cdn.qd.je/163189/j1
翡翠剧集台,https://cdn.qd.je/163189/tvbd
翡翠台,https://cdn.qd.je/163189/fct
翡翠台(字幕),https://cdn.qd.je/163189/fct2
明珠台(字幕),https://cdn.qd.je/163189/mzt
无线新闻台,https://cdn.qd.je/163189/wxxw
广东珠江,https://cdn.qd.je/163189/gdzj
广东体育,https://cdn.qd.je/163189/gdty
八度空间,https://cdn.qd.je/163189/8tv
CH5,https://cdn.qd.je/163189/ch5
CH8,https://cdn.qd.je/163189/ch8
CHU,https://cdn.qd.je/163189/chu
龙华电影,https://cdn.qd.je/163189/lhdy
龙华经典,https://cdn.qd.je/163189/lhjd
龙华偶像,https://cdn.qd.je/163189/lhox
龙华日韩,https://cdn.qd.je/163189/lhrh
龙华戏剧,https://cdn.qd.je/163189/lhxj
龙华洋片,https://cdn.qd.je/163189/lhyp
龙华卡通,https://cdn.qd.je/163189/lhkt
金光布袋戏,https://cdn.qd.je/163189/jgbdx
华丽翡翠台,https://cdn.qd.je/163189/hlfct
TVB亚洲武侠,https://cdn.qd.je/163189/yzwx
TVB娱乐新闻台,https://cdn.qd.je/163189/ylxw
无线新闻台,https://cdn.qd.je/163189/wxxwt
TVB星河,https://cdn.qd.je/163189/tvbxh
海峡卫视,https://cdn.qd.je/163189/hxws
海峡卫视,https://cdn.qd.je/163189/hxws2
TVB星河,https://cdn.qd.je/163189/xinghe
天映新加坡,https://cdn.qd.je/163189/typd
天映经典,https://cdn.qd.je/163189/ccm
华丽翡翠台,https://cdn.qd.je/163189/hlt
华丽翡翠台(硬字幕),https://cdn.qd.je/163189/jade
华丽翡翠台(新加坡),https://cdn.qd.je/163189/jade2
Astro AOD,https://cdn.qd.je/163189/aod
Astro AEC,https://cdn.qd.je/163189/aec
Astro QJ,https://cdn.qd.je/163189/qj
Astro欢喜台,https://cdn.qd.je/163189/hxt
爱奇艺,https://cdn.qd.je/163189/iqiyi
天映频道,https://cdn.qd.je/163189/typd2
天映经典,https://cdn.qd.je/163189/ccm2
TVB星河,https://cdn.qd.je/163189/tvbxh2
千禧经典台,https://cdn.qd.je/163189/tvbc
翡翠台(WebVTT字幕),https://cdn.qd.je/163189/fctvtt
明珠台(WebVTT字幕),https://cdn.qd.je/163189/mztvtt
TVB Plus(WebVTT字幕),https://cdn.qd.je/163189/tvbpvtt
黄金华剧台(WebVTT字幕),https://cdn.qd.je/163189/hjhjt
CCTV1,https://php.jdshipin.com/TVOD/iptv.php?id=cctv1
CCTV2,https://php.jdshipin.com/TVOD/iptv.php?id=cctv2
CCTV3,https://php.jdshipin.com/TVOD/iptv.php?id=cctv3
CCTV4,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4
CCTV5,https://cdn.qd.je/163189/cctv5
CCTV5,https://cdn.qd.je/163189/cctv5-2
CCTV5+,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5p
CCTV5+,https://cdn.qd.je/163189/cctv5p-2
CCTV6,https://php.jdshipin.com/TVOD/iptv.php?id=cctv6
CCTV7,https://php.jdshipin.com/TVOD/iptv.php?id=cctv7
CCTV8,https://php.jdshipin.com/TVOD/iptv.php?id=cctv8
CCTV9,https://php.jdshipin.com/TVOD/iptv.php?id=cctv9
CCTV10,https://php.jdshipin.com/TVOD/iptv.php?id=cctv10
CCTV11,https://php.jdshipin.com/TVOD/iptv.php?id=cctv11
CCTV12,https://php.jdshipin.com/TVOD/iptv.php?id=cctv12
CCTV13,https://php.jdshipin.com/TVOD/iptv.php?id=cctv13
CCTV14,https://php.jdshipin.com/TVOD/iptv.php?id=cctv14
CCTV15,https://php.jdshipin.com/TVOD/iptv.php?id=cctv15
CCTV16,https://php.jdshipin.com/TVOD/iptv.php?id=cctv16
CCTV16,https://cdn.qd.je/163189/cctv16-2
CCTV17,https://php.jdshipin.com/TVOD/iptv.php?id=cctv17
重温经典,https://cdn.qd.je/163189/cwjd2
广州综合,https://cdn.qd.je/163189/gzzh
广州新闻,https://cdn.qd.je/163189/gzxw
广州南国都市,https://cdn.qd.je/163189/ngds
五星体育,https://cdn.qd.je/163189/wxty
民视影剧台,https://cdn.qd.je/163189/msyj
公视戏剧,https://cdn.qd.je/163189/gsxj
采昌影剧台,https://cdn.qd.je/163189/ccyj
靖天映画,https://cdn.qd.je/163189/jtyh
靖天戏剧台,https://cdn.qd.je/163189/jtxj
靖天电影台,https://cdn.qd.je/163189/jtdy
靖洋戏剧台,https://cdn.qd.je/163189/jyxj
影迷数位电影台,https://cdn.qd.je/163189/ymswdyt
amc电影台,https://cdn.qd.je/163189/amc
CinemaWorld,https://cdn.qd.je/163189/cinemaworld
My Cinema Europe,https://cdn.qd.je/163189/mce
经典电影台,https://cdn.qd.je/163189/jddyt
CMusic,https://cdn.qd.je/163189/cmusic
DreamWorks梦工厂动画,https://cdn.qd.je/163189/dreamworks
精选动漫台,https://cdn.qd.je/163189/jxdmt
金光布袋戏,https://cdn.qd.je/163189/jgbdx2
TVB Plus,https://cdn.qd.je/163189/tvbp2
纬来电影台,https://cdn.qd.je/163189/wldy
纬来戏剧台,https://cdn.qd.je/163189/wlxj
纬来体育台,https://cdn.qd.je/163189/wlty
龙祥时代,https://cdn.qd.je/163189/lxsd
东森电影,https://cdn.qd.je/163189/dsdy
东森戏剧,https://cdn.qd.je/163189/dsxj
东森洋片,https://cdn.qd.je/163189/dsyp
